,reviews-1,reviews-2
1. Bravo Beer - City Civic Plaza,“The food and drinks were real”,“Great food! Good vibe! And”
2. BravoBeer (Banqiao),“Nice vibes and food”,“Nice food and service”
3. Guo Ran Hui - Banqiao,“想要時常去吃的餐廳”,“聚餐的好選擇”
4. Yakiyan O-Niku,“餐廳的評論”,“Drop in standards”
5. Top One Pot - Fuzhong,“Quality spicy hot-pot restaurant”,“A lot of fun with excellent food”
6. ikki New Japanese Restaurant (Banqiao Lihpao Mall),“Top”,“Shrimp”
7. Asia 49 Asian Cuisine and Lounge,“Very Happy”,“It’s a nice place for couple of shots...”
8. Yuan Vegetarian House,“Vegetarian Buffet”,“All You Can Eat Vegetarian Restaurant”
9. Yakiyan (Banqiao),“Amazing resterant”,"“Great service, great food.”"
10. Wen Yan Wen,“We Love It. One of the best restaurants...”,“餐聚”
11. Kiki Eslite BanChiao Branch,“중화권 향신료 거부감 있는 가족 동반시 강추 Best restaurant...”,“good”
12. Chamonix Teppanyaki (Banqiao Minsheng.Branch),“A Nice Experience”,“Nice dining place”
13. Water Front,“Unique experience and environment along...”,“Lovely sunset”
14. Yakiyan (Zhonghe Jingping),“Good service and food quality”,“炭烤燒肉首選”
15. Yakiyan (Xinzhuang Zhongzheng),“Nice BBQ set”,“訂位原燒吃午餐”
16. BaLi Waterfront,“its a very nice resturant”,“1 hour to get the food. :( shrimp that...”
17. Din Tai Fung - Banqiao,“... types of dumplings to noodles and m...”,“Best restaurant in New Taipei City”
18. Yakiyan (Xindian Dist-Minquan),“Delicious and comfortable place for BBQ”,“Great!”
19. TGI Fridays,“Thank God it's Friday!”,“Thank God It's Friday”
20. Sankansoubo,“It is a place worth visiting again”,“Best meal when we were in Taipei”
21. ThE 41 Bistro,“Great Atmosphere!”,“Great stuff in Yungho”
22. Tianciliangyuan,“Great dining experience”,“？”
23. Chagether Yakiniku - Minquan,“NICE Atmosphere”,“食物好吃但...”
24. Artco. 33 Bristro and Bar,“Good placed to stop for a drink.”,“Good view”
25. Tokiya (Xindian Beixin Branch),“Nice service!”,"“Review for the dinner on Aug. 15,2019”"
26. Jiu Fen A Mei Tea House,“Friendly Service But Come Early”,“Spirited Away Set”
27. Show Kitchen - Farglory FICC,“Great service”,“Fresh”
28. Modern Toilet Restaurant,“I had the curry chicken and it was really good.”,“I recommend getting the Hot Pot when yo...”
29. Little Mongolian Panchiao,“整體棒”,“聚餐”
30. Bitan Shuiwan Restaurant,“Terrific setting”,“氣氛很好的餐廳”
